COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Cislago,"10,412",11.13,P,D2,P4,T4,S3
Cittiglio,"3,878",11.11,D,D2,P4,T4,S4
Clivio,"1,914",2.98,P,D1,P1,T4,S2
Cocquio-Trevisago,"4,740",9.81,P,D1,P1,T4,S1
Comabbio,"1,185",4.69,D,D5,P1,T1,S2
Comerio,"2,904",5.55,D,D4,P4,T4,S4
Cremenaga,813,4.55,Q,,,,
Crosio della Valle,597,1.44,Q,,,,
Cuasso al Monte,"3,593",16.18,P,D1,P3,T4,S3
Cugliate-Fabiasco,"3,079",6.54,Q,,,,
Cunardo,"2,906",6.06,P,D1,P1,T4,S2
Curiglia con Monteviasco,167,10.85,E,D4,P1,T5,S4
Cuveglio,"3,354",7.53,Q,,,,
Cuvio,"1,671",5.96,P,D2,P3,T2,S2
Daverio,"3,053",4.02,P,D1,P1,T1,S1
Dumenza,"1,485",18.40,Q,,,,
Duno,128,2.49,Q,,,,
Fagnano Olona,"12,498",8.68,P,D2,P5,T2,S3
Ferno,"6,796",8.66,P,D5,P5,T5,S5
Ferrera di Varese,709,1.53,Q,,,,
Gallarate,"53,339",20.98,P,D3,P4,T4,S4
Galliate Lombardo,994,3.27,Q,,,,
Gavirate,"9,327",12.01,D,D4,P4,T5,S5
Gazzada Schianno,"4,617",4.84,D,D4,P5,T5,S5
Gemonio,"2,881",3.67,P,D1,P2,T4,S2
Gerenzano,"10,908",9.79,P,D3,P5,T2,S5
Germignaga,"3,954",4.66,P,D1,P1,T2,S1
Golasecca,"2,699",7.44,D,D5,P1,T4,S2
Gorla Maggiore,"4,942",5.16,P,D1,P2,T1,S1
Gorla Minore,"8,364",7.48,P,D1,P3,T2,S2
Gornate Olona,"2,193",4.70,P,D5,P2,T2,S5
Grantola,"1,270",2.05,P,D2,P3,T1,S1
Inarzo,"1,067",2.43,Q,,,,
Induno Olona,"10,311",12.37,P,D3,P5,T4,S4
Ispra,"5,309",15.91,D,D4,P3,T4,S3
Jerago con Orago,"5,256",3.87,Q,,,,
Lavena Ponte Tresa,"5,895",4.44,D,D5,P4,T5,S5
Laveno-Mombello,"8,685",23.53,D,D4,P4,T4,S4
Leggiuno,"3,766",13.19,L,D3,P4,T2,S3
Lonate Ceppino,"5,029",4.84,Q,,,,
Lonate Pozzolo,"11,726",29.24,P,D4,P5,T4,S4
Lozza,"1,250",1.71,P,D1,P1,T1,S1
Luino,"14,306",21.01,D,D3,P4,T4,S4
Luvinate,"1,330",4.07,Q,,,,
Malgesso,"1,276",2.77,P,D2,P1,T1,S1
Malnate,"16,730",9.00,P,D4,P2,T4,S2
Marchirolo,"3,491",5.49,D,D3,P4,T5,S4
Marnate,"7,936",4.85,P,D1,P2,T2,S1
Marzio,345,1.86,L,D4,P1,T5,S4
Masciago Primo,299,1.81,Q,,,,
Mercallo,"1,815",5.48,Q,,,,
Mesenzana,"1,573",4.88,Q,,,,
Montegrino Valtravaglia,"1,489",10.10,P,D1,P2,T4,S4
Monvalle,"1,954",4.54,D,D5,P2,T1,S2
Morazzone,"4,276",5.60,P,D1,P1,T2,S1
Mornago,"5,011",12.24,P,D1,P3,T2,S2
Oggiona con Santo Stefano,"4,332",2.75,P,D1,P5,T2,S4
Olgiate Olona,"12,541",7.21,P,D4,P5,T4,S5
Origgio,"7,880",7.91,Q,,,,
Orino,823,3.72,P,D2,P3,T5,S4
Osmate,818,3.52,Q,,,,
Porto Ceresio,"2,942",5.34,P,D3,P3,T4,S3
Porto Valtravaglia,"2,360",16.37,D,D3,P4,T4,S4
Rancio Valcuvia,933,4.45,Q,,,,
Ranco,"1,308",6.76,D,D4,P5,T5,S5
Saltrio,"3,097",3.44,Q,,,,
Samarate,"16,125",16.01,P,D1,P4,T1,S2
Saronno,"39,415",11.06,B,D5,P5,T4,S5
Sesto Calende,"11,080",25.04,D,D5,P3,T4,S4
Solbiate Arno,"4,120",3.03,P,D1,P1,T1,S1
Solbiate Olona,"5,446",4.93,P,D5,P5,T4,S5
Somma Lombardo,"17,944",30.51,B,D5,P5,T5,S5
Sumirago,"6,115",11.75,P,D1,P1,T1,S1
Taino,"3,683",7.63,P,D2,P3,T1,S1
Ternate,"2,560",4.68,D,D4,P5,T1,S4
Tradate,"18,983",21.48,P,D1,P5,T4,S4
Travedona-Monate,"4,057",9.60,P,D1,P1,T2,S1
Tronzano Lago Maggiore,223,11.06,D,D4,P2,T5,S5
Uboldo,"10,656",10.74,Q,,,,
Valganna,"1,599",12.42,P,D5,P2,T5,S5
Varano Borghi,"2,490",3.33,D,D5,P4,T4,S4
Varese,"80,559",54.84,L,D4,P5,T4,S5
Vedano Olona,"7,427",7.08,P,D1,P1,T2,S1
Venegono Inferiore,"6,097",5.88,P,D1,P1,T2,S1
Venegono Superiore,"7,378",6.73,P,D1,P3,T4,S2
Vergiate,"8,716",21.78,P,D4,P5,T2,S4
Viggiù,"5,264",9.26,P,D2,P4,T4,S4
Vizzola Ticino,576,7.61,P,D5,P5,T4,S5
Sangiano,"1,521",2.22,Q,,,,
Maccagno con Pino e Veddasca,"2,600",41.96,D,D5,P5,T5,S5
Albavilla,"6,354",10.38,D,D4,P5,T2,S4
Albese con Cassano,"4,228",7.95,P,D2,P2,T1,S1
Albiolo,"2,742",2.84,Q,,,,
Alserio,"1,265",1.99,Q,,,,
Alzate Brianza,"4,953",7.58,P,D1,P3,T1,S1
Anzano del Parco,"1,812",3.24,P,D1,P3,T1,S1
Appiano Gentile,"7,779",12.81,P,D4,P4,T4,S4
Argegno,654,4.11,D,D5,P5,T5,S5
Arosio,"5,087",2.58,P,D3,P5,T1,S4
Asso,"3,579",6.51,P,D1,P1,T1,S1
Barni,565,5.72,Q,,,,
Bene Lario,330,5.59,P,D4,P1,T1,S1
Beregazzo con Figliaro,"2,767",3.80,Q,,,,
Binago,"4,831",7.12,P,D1,P3,T1,S2
Bizzarone,"1,654",2.67,P,D3,P3,T4,S4
Blessagno,282,3.56,L,D3,P2,T5,S5
Blevio,"1,184",5.47,D,D5,P5,T5,S5
Bregnano,"6,503",6.17,Q,,,,
Brenna,"2,148",4.83,Q,,,,
Brienno,329,8.97,D,D4,P3,T5,S5
Brunate,"1,710",2.03,L,D4,P4,T5,S5
Bulgarograsso,"4,104",3.77,P,D1,P3,T2,S2
Cabiate,"7,493",3.18,Q,,,,
Cadorago,"7,995",7.16,Q,,,,
Caglio,483,6.52,E,D3,P1,T5,S4
Campione d'Italia,"1,961",2.68,D,D4,P5,T5,S5
Cantù,"40,007",23.25,P,D3,P5,T4,S4
Canzo,"5,167",11.11,P,D2,P3,T4,S3
Capiago Intimiano,"5,535",5.72,P,D1,P4,T4,S3
Carate Urio,"1,168",6.94,D,D4,P4,T5,S5
Carbonate,"2,960",4.92,P,D2,P3,T1,S2
Carimate,"4,512",5.17,P,D3,P4,T4,S4
Carlazzo,"3,177",12.73,D,D5,P2,T4,S4
Carugo,"6,635",4.19,P,D2,P4,T1,S2
Caslino d'Erba,"1,649",6.89,P,D1,P3,T2,S2
Casnate con Bernate,"4,974",5.22,P,D2,P4,T2,S3
Cassina Rizzardi,"3,351",3.51,Q,,,,
Castelmarte,"1,287",1.97,P,D1,P3,T1,S1
Castelnuovo Bozzente,889,3.62,Q,,,,
Cavargna,208,14.97,Q,,,,
Cerano d'Intelvi,536,5.55,P,D1,P1,T1,S1
Cermenate,"9,236",8.18,P,D2,P5,T2,S4
Cernobbio,"6,701",12.28,D,D5,P5,T5,S5
Cirimido,"2,136",2.63,Q,,,,
Claino con Osteno,550,12.90,P,D5,P1,T5,S4
Colonno,506,5.62,Q,,,,
Como,"82,522",37.14,L,D5,P5,T4,S5
Corrido,831,6.19,D,D3,P4,T5,S4
Cremia,677,10.14,D,D5,P3,T5,S5
Cucciago,"3,408",4.93,Q,,,,
Cusino,223,9.65,P,D3,P1,T4,S1
Dizzasco,619,3.61,D,D4,P3,T1,S2
Domaso,"1,479",6.28,D,D5,P5,T5,S5
Dongo,"3,356",7.04,D,D5,P4,T4,S4
Dosso del Liro,252,23.49,L,D4,P3,T4,S4
Erba,"16,323",17.80,D,D4,P4,T4,S4
Eupilio,"2,592",6.94,D,D5,P3,T4,S5
Faggeto Lario,"1,207",17.52,D,D4,P3,T5,S5
Faloppio,"4,763",4.14,Q,,,,
Fenegrò,"3,231",5.36,Q,,,,
Figino Serenza,"5,148",4.96,P,D3,P4,T1,S3
Fino Mornasco,"9,860",7.27,P,D1,P4,T4,S4
Garzeno,739,28.75,P,D2,P1,T4,S2
Gera Lario,"1,037",7.18,D,D4,P3,T2,S3
Grandate,"2,842",2.83,P,D5,P5,T4,S5
Grandola ed Uniti,"1,313",16.90,D,D3,P4,T4,S4
Griante,633,6.55,D,D5,P5,T5,S5
Guanzate,"5,805",6.91,P,D1,P2,T1,S1
Inverigo,"9,186",9.99,P,D2,P5,T2,S4
Laglio,918,6.20,D,D4,P5,T4,S4
Laino,525,6.68,Q,,,,
Lambrugo,"2,538",1.84,Q,,,,
Lasnigo,473,5.53,P,D1,P1,T1,S1
Lezzeno,"2,050",20.70,D,D4,P5,T4,S5
Limido Comasco,"3,853",4.56,Q,,,,
Lipomo,"5,971",2.30,P,D3,P4,T4,S3
Livo,171,33.13,P,D4,P1,T4,S3
Locate Varesino,"4,355",6.04,Q,,,,
Lomazzo,"9,988",9.48,P,D4,P5,T1,S5
Longone al Segrino,"1,918",1.60,P,D1,P1,T4,S2
Luisago,"2,724",2.16,P,D3,P4,T4,S4
Lurago d'Erba,"5,366",4.70,P,D1,P4,T4,S3
Lurago Marinone,"2,626",3.89,P,D1,P2,T2,S2
Lurate Caccivio,"9,846",5.94,P,D1,P3,T2,S2
Magreglio,676,3.08,L,D3,P4,T4,S4
Mariano Comense,"25,191",13.80,P,D2,P4,T4,S3
Maslianico,"3,331",1.29,P,D4,P3,T4,S3
Menaggio,"3,101",11.77,L,D5,P5,T5,S5
Merone,"4,106",3.28,D,D4,P4,T2,S3
Moltrasio,"1,598",8.90,D,D5,P5,T5,S5
Monguzzo,"2,370",3.73,D,D2,P4,T1,S2
Montano Lucino,"5,274",5.22,P,D5,P5,T5,S5
Montemezzo,224,9.02,D,D4,P2,T4,S3
Montorfano,"2,549",3.52,P,D5,P1,T4,S4
Mozzate,"8,960",10.68,P,D3,P5,T2,S4
Musso,972,3.71,D,D4,P2,T5,S5
Nesso,"1,212",15.03,D,D3,P4,T4,S4
Novedrate,"2,853",2.92,P,D4,P5,T1,S5
Olgiate Comasco,"11,682",10.96,P,D1,P4,T2,S3
Oltrona di San Mamette,"2,379",2.69,P,D1,P3,T4,S2
Orsenigo,"2,736",4.46,P,D3,P3,T1,S2
Peglio,191,10.57,L,D4,P2,T4,S4
Pianello del Lario,"1,042",9.80,D,D5,P2,T5,S5
Pigra,235,4.53,L,D3,P2,T5,S4
Plesio,832,16.90,D,D3,P3,T2,S2
Pognana Lario,681,5.07,D,D5,P2,T5,S5
Ponna,239,5.81,Q,,,,
Ponte Lambro,"4,326",3.38,P,D1,P2,T1,S1
Porlezza,"4,964",18.64,D,D5,P5,T5,S5
Proserpio,927,2.30,Q,,,,
Pusiano,"1,372",3.20,P,D2,P3,T5,S4
Rezzago,295,4.08,P,D3,P1,T4,S1
Rodero,"1,333",2.52,Q,,,,
Ronago,"1,716",2.09,P,D3,P2,T4,S2
Rovellasca,"7,804",3.57,Q,,,,
Rovello Porro,"6,144",5.53,P,D2,P4,T2,S3
Sala Comacina,507,4.73,D,D4,P4,T5,S4
San Bartolomeo Val Cavargna,996,10.51,P,D1,P2,T2,S1
San Fermo della Battaglia,"7,820",5.78,P,D3,P3,T4,S3
San Nazzaro Val Cavargna,298,12.99,Q,,,,
Schignano,858,10.12,L,D4,P3,T4,S4
Senna Comasco,"3,182",2.79,P,D1,P3,T4,S2
Sorico,"1,263",24.44,D,D5,P5,T5,S5
Sormano,646,10.74,E,D5,P1,T5,S5
Stazzona,598,7.29,D,D2,P3,T4,S2
Tavernerio,"5,805",11.88,P,D2,P4,T1,S2
Torno,"1,153",7.53,L,D5,P4,T5,S5
Trezzone,231,3.91,D,D2,P3,T1,S1
Turate,"9,507",10.28,P,D4,P5,T1,S3
Uggiate-Trevano,"4,957",5.78,P,D4,P5,T4,S4
Valbrona,"2,639",13.65,P,D3,P3,T2,S2
Valmorea,"2,683",3.13,P,D2,P3,T2,S2
Val Rezzo,164,6.61,Q,,,,
Valsolda,"1,530",31.74,D,D4,P2,T5,S4
Veleso,218,5.86,L,D4,P3,T4,S2
Veniano,"3,053",3.15,Q,,,,
Vercana,747,15.01,D,D5,P4,T4,S4
Vertemate con Minoprio,"4,138",5.75,P,D1,P3,T4,S2
Villa Guardia,"8,018",7.86,P,D1,P4,T4,S3
Zelbio,199,4.60,L,D4,P1,T4,S2
San Siro,"1,724",18.79,D,D5,P3,T4,S4
Gravedona ed Uniti,"4,197",39.85,D,D4,P4,T4,S4
Bellagio,"3,707",29.06,D,D5,P5,T5,S5
Colverde,"5,416",8.58,P,D1,P3,T4,S2
Tremezzina,"5,141",29.41,L,D5,P5,T5,S5
Alta Valle Intelvi,"2,946",24.95,L,D4,P4,T4,S4
Centro Valle Intelvi,"3,546",19.66,L,D5,P3,T4,S4
Solbiate con Cagno,"4,658",7.62,P,D1,P3,T1,S1
Albaredo per San Marco,291,18.96,E,D4,P1,T5,S5
Albosaggia,"3,011",34.35,P,D3,P4,T2,S3
Andalo Valtellino,563,6.78,Q,,,,
Aprica,"1,555",20.37,E,D5,P5,T5,S5
Ardenno,"3,260",17.14,P,D3,P3,T4,S3
Bema,123,19.22,E,D3,P3,T5,S5
Berbenno di Valtellina,"4,130",35.59,P,D3,P4,T4,S3
Bianzone,"1,315",17.11,P,D2,P3,T4,S3
Bormio,"4,179",41.44,H,D5,P5,T5,S5
Buglio in Monte,"2,011",27.71,P,D2,P1,T1,S1
Caiolo,"1,094",32.97,Q,,,,
Campodolcino,936,48.49,E,D5,P4,T5,S5
Caspoggio,"1,374",7.31,E,D4,P5,T5,S5
Castello dell'Acqua,613,14.07,Q,,,,
Castione Andevenno,"1,598",17.03,P,D2,P3,T4,S3
Cedrasco,434,14.42,P,D2,P3,T1,S1
Cercino,782,5.69,Q,,,,
Chiavenna,"7,319",10.77,B,D4,P5,T5,S5
Chiesa in Valmalenco,"2,461",107.60,E,D5,P5,T5,S5
Chiuro,"2,543",51.76,P,D2,P2,T4,S2
Cino,340,5.07,Q,,,,
Civo,"1,107",25.14,P,D3,P2,T4,S3
Colorina,"1,386",17.84,Q,,,,
Cosio Valtellino,"5,528",23.99,P,D2,P2,T2,S2
Dazio,448,3.73,P,D4,P2,T4,S3
Delebio,"3,282",22.44,D,D3,P3,T1,S2
Dubino,"3,686",13.24,D,D2,P5,T2,S4
Faedo Valtellino,557,4.80,Q,,,,
Forcola,797,15.90,P,D3,P5,T5,S5
Fusine,582,37.60,Q,,,,
Gerola Alta,172,37.43,E,D5,P3,T5,S5
Gordona,"1,964",62.79,P,D2,P3,T1,S2
Grosio,"4,425",126.92,H,D3,P4,T2,S3
Grosotto,"1,644",53.12,E,D2,P4,T2,S3
Madesimo,519,85.65,E,D5,P5,T5,S5
Lanzada,"1,313",117.17,E,D5,P3,T4,S4
Livigno,"6,636",227.29,H,D5,P5,T5,S5
Lovero,653,13.46,P,D2,P1,T1,S1
Mantello,747,3.78,P,D4,P5,T4,S5
Mazzo di Valtellina,989,15.32,P,D3,P3,T2,S2
Mello,945,11.43,P,D3,P2,T1,S1
Mese,"1,806",4.15,P,D2,P2,T1,S1
Montagna in Valtellina,"2,996",44.97,P,D1,P1,T4,S1
Morbegno,"12,405",14.82,P,D3,P3,T4,S3
Novate Mezzola,"1,899",99.74,P,D5,P1,T4,S3
Pedesina,38,6.30,Q,,,,
Piantedo,"1,390",6.80,P,D1,P3,T4,S3
Piateda,"2,139",70.80,P,D2,P4,T4,S3
Piuro,"1,915",84.25,B,D4,P3,T5,S5
Poggiridenti,"1,871",2.90,P,D4,P4,T2,S3
Ponte in Valtellina,"2,291",67.73,P,D3,P2,T4,S3
Postalesio,676,10.58,Q,,,,
Prata Camportaccio,"2,959",27.94,P,D2,P3,T2,S2
Rasura,290,6.00,E,D2,P3,T4,S4
Rogolo,558,12.82,Q,,,,
Samolaco,"2,880",45.80,P,D1,P2,T4,S2
San Giacomo Filippo,354,61.85,P,D4,P1,T4,S3
Sernio,489,9.52,E,D4,P4,T4,S4
Sondalo,"4,071",95.45,H,D4,P3,T4,S3
Sondrio,"21,590",20.87,B,D4,P4,T4,S4
Spriana,84,7.68,Q,,,,
Talamona,"4,676",21.05,P,D1,P5,T4,S4
Tartano,199,47.27,E,D5,P4,T5,S5
Teglio,"4,561",115.32,E,D3,P4,T4,S4
Tirano,"9,011",32.37,B,D4,P5,T4,S4
Torre di Santa Maria,749,44.24,E,D4,P2,T4,S2
Tovo di Sant'Agata,640,11.15,P,D3,P4,T1,S2
Traona,"2,798",6.37,P,D1,P1,T2,S1
Tresivio,"1,988",15.01,P,D2,P2,T5,S4
Valdidentro,"4,150",226.72,H,D5,P5,T5,S5
Valdisotto,"3,637",89.57,H,D5,P5,T4,S5
Valfurva,"2,566",214.99,H,D5,P5,T5,S5
Val Masino,881,116.71,E,D5,P4,T5,S5
Verceia,"1,103",11.38,P,D3,P3,T5,S4
Vervio,212,12.41,Q,,,,
Villa di Chiavenna,965,32.52,P,D2,P2,T5,S4
Villa di Tirano,"2,946",24.74,P,D3,P4,T4,S4
Abbiategrasso,"32,610",47.78,P,D1,P5,T4,S4
Albairate,"4,702",14.98,P,D1,P1,T2,S1
Arconate,"6,628",8.42,P,D1,P4,T2,S2
Arese,"19,495",6.58,P,D3,P4,T4,S4
Arluno,"12,027",12.36,Q,,,,
Assago,"9,151",8.05,P,D5,P5,T5,S5
Bareggio,"17,344",11.38,P,D1,P3,T1,S2
Basiano,"3,680",4.59,P,D4,P4,T1,S3
Basiglio,"8,010",8.49,P,D4,P5,T4,S4
Bellinzago Lombardo,"3,869",4.59,Q,,,,
Bernate Ticino,"3,033",12.16,P,D2,P5,T4,S5
Besate,"2,060",12.74,P,D1,P4,T2,S2
Binasco,"7,259",3.87,P,D5,P5,T4,S5
Boffalora sopra Ticino,"4,131",7.65,P,D1,P4,T4,S3
Bollate,"36,564",13.11,P,D3,P5,T4,S4
Bresso,"26,300",3.38,P,D4,P5,T5,S5
Bubbiano,"2,400",2.95,Q,,,,
Buccinasco,"27,102",12.01,Q,,,,
Buscate,"4,697",7.83,P,D3,P4,T2,S3
Bussero,"8,439",4.59,P,D1,P4,T2,S3
Busto Garolfo,"13,891",12.99,P,D1,P2,T2,S1
Calvignasco,"1,228",1.73,Q,,,,
Cambiago,"7,023",7.18,P,D5,P5,T2,S4
Canegrate,"12,679",5.25,P,D1,P2,T1,S1
Carpiano,"4,194",17.24,P,D3,P5,T2,S4
Carugate,"15,556",5.39,P,D3,P5,T4,S4
Casarile,"4,074",7.32,P,D4,P5,T4,S4
Casorezzo,"5,465",6.60,P,D1,P4,T2,S2
Cassano d'Adda,"19,079",18.60,P,D3,P5,T4,S4
Cassina de' Pecchi,"13,891",7.21,P,D1,P3,T4,S2
Cassinetta di Lugagnano,"1,870",3.32,P,D1,P3,T4,S4
Castano Primo,"11,207",19.17,P,D1,P1,T2,S1
Cernusco sul Naviglio,"34,604",13.22,P,D3,P5,T2,S4
Cerro al Lambro,"5,127",9.96,Q,,,,
Cerro Maggiore,"15,237",10.12,P,D4,P5,T4,S4
Cesano Boscone,"23,970",3.94,P,D3,P4,T4,S4
Cesate,"14,453",5.77,P,D1,P4,T4,S4
Cinisello Balsamo,"75,581",12.72,B,D5,P5,T2,S5
Cisliano,"4,865",14.68,Q,,,,
Cologno Monzese,"47,682",8.40,P,D4,P5,T5,S5
Colturano,"2,083",4.16,Q,,,,
Corbetta,"18,420",18.69,P,D2,P5,T2,S4
Cormano,"20,178",4.47,P,D1,P3,T4,S2
Cornaredo,"20,544",11.07,P,D4,P5,T2,S4
Corsico,"34,715",5.36,P,D3,P5,T2,S4
Cuggiono,"8,271",14.93,P,D1,P1,T2,S1
Cusago,"4,110",11.46,P,D5,P5,T4,S5
Cusano Milanino,"18,827",3.08,P,D2,P4,T4,S3
Dairago,"6,441",5.64,Q,,,,
Dresano,"3,043",3.48,P,D3,P3,T2,S2
Gaggiano,"9,164",26.26,P,D1,P5,T4,S4
Garbagnate Milanese,"27,385",8.91,P,D3,P5,T2,S4
Gessate,"8,767",7.76,P,D1,P4,T2,S3
Gorgonzola,"20,741",10.58,P,D3,P5,T4,S4
Grezzago,"3,011",2.46,P,D2,P2,T1,S1
Gudo Visconti,"1,651",6.10,P,D1,P4,T2,S3
Inveruno,"8,633",12.13,P,D1,P4,T4,S3
Inzago,"10,943",12.21,P,D1,P1,T4,S2
Lacchiarella,"9,012",24.04,P,D1,P4,T1,S2
Lainate,"25,954",12.87,B,D4,P5,T2,S4
Legnano,"60,481",17.70,P,D4,P5,T4,S5
Liscate,"4,089",9.41,P,D1,P5,T2,S3
Locate di Triulzi,"10,269",12.61,P,D1,P1,T4,S1
Magenta,"24,002",21.99,P,D3,P4,T4,S3
Magnago,"9,264",11.23,P,D1,P1,T1,S1
Marcallo con Casone,"6,158",8.21,Q,,,,
Masate,"3,570",4.39,Q,,,,
Mediglia,"12,235",21.95,P,D2,P5,T4,S4
Melegnano,"18,226",5.00,P,D3,P5,T4,S4
Melzo,"18,253",9.82,P,D3,P5,T4,S4
Mesero,"4,177",5.64,Q,,,,
Milano,"1,378,689",181.68,A,D5,P5,T5,S5
Morimondo,"1,084",26.00,B,D1,P4,T2,S3
Motta Visconti,"8,062",10.51,Q,,,,
Nerviano,"17,121",13.24,P,D2,P4,T1,S2
Nosate,655,4.88,Q,,,,
Novate Milanese,"20,032",5.46,P,D4,P5,T4,S5
Noviglio,"4,607",15.86,Q,,,,
Opera,"13,920",7.64,P,D4,P4,T4,S4
Ossona,"4,336",5.98,P,D4,P5,T1,S4
Ozzero,"1,449",10.97,P,D2,P4,T1,S2
Paderno Dugnano,"46,306",14.11,P,D4,P5,T4,S4
Pantigliate,"6,031",5.69,Q,,,,
Parabiago,"27,825",14.31,P,D3,P5,T2,S4
Paullo,"11,355",8.82,P,D1,P3,T2,S2
Pero,"11,418",4.98,P,D5,P5,T4,S5
Peschiera Borromeo,"23,504",23.22,P,D4,P5,T4,S5
Pessano con Bornago,"9,053",6.66,Q,,,,
Pieve Emanuele,"15,860",12.91,P,D5,P5,T2,S5
Pioltello,"37,002",13.09,P,D2,P4,T2,S3
Pogliano Milanese,"8,392",4.78,P,D2,P3,T4,S3
Pozzo d'Adda,"6,159",4.16,P,D1,P4,T1,S2
Pozzuolo Martesana,"8,584",12.14,P,D1,P1,T2,S1
Pregnana Milanese,"7,375",5.07,P,D4,P5,T2,S4
Rescaldina,"14,211",8.03,P,D1,P2,T2,S1
Rho,"50,602",22.24,P,D5,P5,T2,S4
Robecchetto con Induno,"4,852",13.93,P,D2,P3,T1,S2
Robecco sul Naviglio,"6,762",19.78,P,D1,P3,T2,S2
Rodano,"4,571",13.07,P,D1,P4,T2,S2
Rosate,"5,846",18.68,P,D2,P5,T2,S4
Rozzano,"42,430",12.24,P,D3,P5,T4,S5
San Colombano al Lambro,"7,430",16.55,P,D1,P3,T4,S2
San Donato Milanese,"32,761",12.87,P,D5,P5,T4,S5
San Giorgio su Legnano,"6,717",2.17,P,D1,P2,T1,S1
San Giuliano Milanese,"38,537",30.87,P,D1,P5,T2,S4
Santo Stefano Ticino,"5,039",4.97,P,D1,P3,T1,S2
San Vittore Olona,"8,322",3.48,P,D5,P5,T4,S5
San Zenone al Lambro,"4,448",7.24,Q,,,,
Sedriano,"12,246",7.75,P,D1,P3,T2,S2
Segrate,"35,935",17.49,P,D5,P5,T5,S5
Senago,"21,381",8.60,Q,,,,
Sesto San Giovanni,"81,393",11.70,P,D5,P5,T4,S5
Settala,"7,326",17.42,P,D4,P5,T1,S4
Settimo Milanese,"20,094",10.72,P,D2,P5,T2,S5
Solaro,"14,194",6.68,Q,,,,
Trezzano Rosa,"5,174",3.44,Q,,,,
Trezzano sul Naviglio,"21,171",10.77,P,D4,P5,T2,S5
Trezzo sull'Adda,"12,171",13.05,P,D3,P5,T4,S4
Tribiano,"3,523",7.00,P,D3,P3,T1,S2
Truccazzano,"5,895",21.98,P,D1,P1,T2,S1
Turbigo,"7,251",8.52,Q,,,,
Vanzago,"9,243",6.05,P,D1,P2,T4,S2
Vaprio d'Adda,"9,154",7.15,P,D3,P5,T1,S4
Vermezzo,"3,932",6.31,P,D4,P1,T1,S1
Vernate,"3,320",14.65,P,D1,P3,T1,S2
Vignate,"9,311",8.55,P,D1,P3,T2,S2
Vimodrone,"16,997",4.74,P,D3,P5,T4,S4
Vittuone,"9,216",6.13,P,D3,P5,T2,S4
Vizzolo Predabissi,"4,022",5.65,Q,,,,
Zelo Surrigone,"1,873",4.43,Q,,,,
Zibido San Giacomo,"6,900",24.58,P,D1,P5,T2,S3
Villa Cortese,"6,138",3.55,P,D4,P5,T2,S4
Vanzaghello,"5,331",5.56,P,D1,P4,T4,S4
Baranzate,"11,983",2.77,P,D4,P5,T2,S4
Adrara San Martino,"2,229",12.61,P,D1,P3,T2,S2
Adrara San Rocco,822,9.22,P,D1,P1,T1,S1
Albano Sant'Alessandro,"8,294",5.35,Q,,,,
Albino,"17,805",31.81,P,D2,P4,T2,S3
Almè,"5,538",2.00,Q,,,,
Almenno San Bartolomeo,"6,295",10.61,P,D2,P3,T4,S3
Almenno San Salvatore,"5,674",4.73,P,D2,P3,T4,S3
Alzano Lombardo,"13,655",13.68,P,D1,P4,T4,S3
Ambivere,"2,370",3.28,P,D1,P5,T1,S3
Antegnate,"3,258",9.73,Q,,,,
Arcene,"4,849",4.35,Q,,,,
Ardesio,"3,458",54.44,P,D2,P2,T4,S2
Arzago d'Adda,"2,711",9.31,P,D3,P3,T4,S2
Averara,181,10.69,P,D2,P3,T4,S3
Aviatico,563,8.49,E,D4,P2,T5,S4
Azzano San Paolo,"7,597",4.29,P,D3,P4,T4,S3
Azzone,389,17.29,Q,,,,
Bagnatica,"4,358",6.55,P,D4,P5,T1,S4
Barbata,698,7.98,Q,,,,
Bariano,"4,250",7.07,P,D1,P5,T2,S4
Barzana,"1,984",2.07,Q,,,,
Bedulita,725,4.27,Q,,,,
Berbenno,"2,385",6.14,P,D1,P2,T1,S1
Bergamo,"121,639",40.15,B,D5,P5,T4,S5
Berzo San Fermo,"1,386",5.86,Q,,,,
Bianzano,604,6.67,Q,,,,
Blello,75,2.20,Q,,,,
Bolgare,"6,309",8.59,Q,,,,
Boltiere,"6,176",4.21,P,D3,P5,T1,S4
Bonate Sopra,"10,085",6.15,P,D2,P4,T1,S3
Bonate Sotto,"6,683",6.47,P,D1,P5,T1,S3
Borgo di Terzo,"1,177",1.83,Q,,,,
Bossico,986,7.09,L,D4,P3,T4,S4
Bottanuco,"5,151",5.77,P,D2,P4,T1,S2
Bracca,692,5.47,E,D4,P3,T5,S4
Branzi,711,26.19,E,D5,P3,T4,S4
Brembate,"8,562",5.53,P,D4,P5,T4,S5
Brembate di Sopra,"7,852",4.14,Q,,,,
Brignano Gera d'Adda,"6,008",12.11,Q,,,,
Brumano,116,8.14,Q,,,,
Brusaporto,"5,627",4.99,P,D3,P5,T2,S4
Calcinate,"6,013",15.08,P,D4,P5,T1,S3
Calcio,"5,375",15.67,P,D1,P3,T1,S2
Calusco d'Adda,"8,333",8.33,P,D1,P5,T2,S4
Calvenzano,"4,262",6.72,Q,,,,
